,original_id,sequence_length
ad6ffd58b089c6844b983ea0841272cb,protein_43,505
b526ef4440d1c76fc1077b8176a15081,protein_132,505
fd8158bbab6689d9b9a216d8cedf4d17,protein_7,503
2f7226008705915f13913ac61a9faa99,protein_345,503
04928476e933618a1e21c78830e0a392,protein_27,502
44f844fe30f2e4338cf57ed9d1f5f6c3,protein_49,502
588a9529ca3945950ab346adc729f62b,protein_40,499
3f490da953d0c1399bcf00f7a6746b5e,protein_65,499
de9451041ffb0df392ef598a718e1cc7,protein_277,499
0aac7e1ad3de868d74674b74f06cc8f2,protein_321,496
de6e81a4ba2b468a10d0039f052a6463,protein_58,493
50ff5c8e696e1310ea19fdc4c894ebc3,protein_215,491
c26ff33bdbe0e78410bbdb19e92c5ab8,protein_328,488
f2f8bb4872f5b5807c5f0d903f09b056,protein_213,487
3d2dfdf3c586ba722e1d4d2688e63d1d,protein_373,486
eb68eedd814790f1bcd916dd9ff50be2,protein_64,484
61dd6dd9bf52d71c01e823a2438ddaaf,protein_34,483
e9f351ecc03c35f79f2e8f3612d09fae,protein_139,483
03c31c0d78bf5ee48b282332738ced2c,protein_107,482
1dd26f451aea463f58467576eff14899,protein_11,481
b1a5f8955722032e01871e8bd04716cd,protein_67,481
1620296e269940b19bafa78ca71e003a,protein_10,480
542d5a757231911b6e09f73d23d314d8,protein_126,480
9c8ee75c7abd6c87bd994f32741fc53c,protein_12,479
396fb1c0679818238c7a4f02b2f5483e,protein_38,478
b25a8414d8d8b2136d0d886d8787f2eb,protein_356,477
2b5bfd5f37a80501db34c8eb4f2cfe1a,protein_37,476
a7304385fbc7627192b1408cd0b46dda,protein_61,476
38076712723ed5bb2ee9dafeab2448d3,protein_47,475
52f3eb8fa3a33513cddf950ecbd2a286,protein_42,473
9b3df9d8c08648f9bf86bb4f40823ca9,protein_188,473
d173f13ecc581085b0ae5d8128ba1603,protein_366,472
c4259e74930f741eb0f249fd8e6b4164,protein_258,469
c9be1bd12301019f6ee750057c8bf2d3,protein_205,465
092ddc60cd051dfc46de654c56f0466b,protein_206,465
157cb45739494ead4f9c74c5b405a631,protein_225,465
ffa33b20a6193bbcabaca30bbccb53be,protein_55,464
aa5ebc040a73c561149ab7792b896666,protein_164,464
b9b059e043f10b1262626bde494b2620,protein_226,464
7268c70554be57a866fd90ed8056f69b,protein_157,460
7a5c3333a1ec6555dbaefa5c6303cb2b,protein_301,458
c6dd47aaa3c538d2e544de17a6cc3b70,protein_82,454
6402bc6a0f336e0ccb7bf6035eb7eca6,protein_31,451
ab1904d340738a9e47ee28ec228dc6cd,protein_231,451
64016a73cb830d06c4225bede18f3ee5,protein_69,450
2921a4e0c0a83444ba36d21a2bfec06f,protein_198,448
b27a37c1dba99fbfbae12c3fce72a9ca,protein_249,448
bb69344caee31e39f3db73bccdcb9171,protein_76,447
b7eba0f2f92ad245dc0cdafc864b37bd,protein_229,445
3ddf02bac0f78c1fd4c1f0a93ab1c58d,protein_216,443
8eb3810b40456978e2d560896156a22e,protein_236,436
de570242c1c9c955f219abef2a49d1c2,protein_251,436
4d69623f20554d5af5cab211247937ec,protein_257,435
4abe2000697d8d6763c31b275609c47d,protein_171,433
b89f0ae73bbb390fff82f35e5b453aa1,protein_162,427
bb8f1ec47dd040b2e3d576191a033ff3,protein_375,426
344a92c32093386f463765b4fc3583fb,protein_163,424
8d9531cff5570fb044861337598fa563,protein_319,424
83fdf9dc3039c42339bc941a0847a1c3,protein_74,422
f15a59b73b5223e67fe6af605e0033f1,protein_274,421
e93d83c1970d960dfc0bf3c997157eef,protein_140,420
8580c0c660d37d9762c7359968fdc105,protein_204,419
7f34fb4ef08d9050f8fe27c6d6f995bb,protein_73,416
1b3c30c557eb4bf28243fad1bdd2c8b3,protein_217,416
b78f477508a2fb1765530101e9e9e861,protein_273,416
f6cb250af125a396596a42297e16bc0a,protein_72,415
986a9393aebc695a16c7b3e597670046,protein_75,415
2d08539d96bfcf232fef5c4c1b6fdb30,protein_91,414
0d99ea64aea10e16e68ea12154b2915c,protein_372,414
8f82952583ef414ea4f7db2782a30fe6,protein_260,406
d71aca87c9c759db458a90aeca532e01,protein_268,404
fd362a797e55160e725e287cda5b74d0,protein_20,403
159c047122396b5e4be8f9058d812929,protein_187,400
295f0645dd81840477341044a84d1c19,protein_195,400
a020591d3f9f5954a3b0181d979c1b46,protein_197,399
de41b2f31ca8190f4cb229dc9d6cb76b,protein_371,396
f551ff58c2776de1376b4f8830643b0f,protein_194,393
3452da2573da72752e984aad8a035a38,protein_77,391
eafee617edffea0bd5f9613619ad8ec9,protein_222,388
3dbdf2c291337a30dcf5ba923b218ee4,protein_259,387
82c96c351a3b58cbca8fed3796ac306a,protein_36,385
8501faf469e77a9fbdc0166f5a18bcf6,protein_114,379
f0bbde8c12a07a7f8763f6bb0382e7e6,protein_208,373
2dec54fb2329f1ded5671e4a5c94123e,protein_56,372
41038873ec3575327eebb5da42172254,protein_92,372
7948b05b7667086c771b5ab7aeb51f78,protein_35,370
d83c475709f92a87a9566a4ea520cd60,protein_81,370
207ff9b2e988830b7209136c4183bbdc,protein_242,367
8796575e0fb5dd7e832a65b1b3995fab,protein_359,367
6d2bb91dbb2abcc6f0a39c6a23d7470b,protein_241,365
13340b7f92d71f6bb33b5af0d941e3cd,protein_240,364
ccb174681d880da0eae8c0c11a73434c,protein_115,360
4f35ee5c7e10d2f8f66e8580cd2f9708,protein_239,360
36f0ca6fc74a06363476d0c88c1e15b3,protein_320,359
55d9582b969948fcda3098f410b53e15,protein_296,358
c81e0b8538d3272e79d99d9823ee5d98,protein_57,357
f9f01faa42b67ad656136609dacd4e9a,protein_275,351
c636ab9e52c09404269d250fc260150c,protein_276,351
e1b98e9e9860af72c52228381c77726c,protein_78,350
121a1cc9e7ee9e20e99a14daf8bbe3d0,protein_196,347
efac0ba2abc8f0b14c6b6689a0f2d676,protein_54,346
a2092d9052d9794255e32e8e525ff988,protein_21,344
9fe8ffab125eb4793d7239317e2eac60,protein_70,337
005f9cb0fa24f63c4fa421e76fffa289,protein_71,337
6a0ad3089d5b24496d0b195f03858630,protein_199,334
8327a2021ef972c9fd08b00c654310be,protein_270,326
212e37452fafca806dbf1dd1fbb8d559,protein_48,324
62e9af939ba47084598b1661c0691b0e,protein_233,313
68b99c3e1ac5798d34d84de46a1bf420,protein_269,311
46b1536f716fc9c8c88e6f2ba055c009,protein_22,309
2af0621df719b5ad0bc5777f989987ab,protein_51,305
cc00dbec823a59dccd71aabdc435614e,protein_332,305
f2274c019b864269cc028c5a676ebcb7,protein_52,303
e2640b1edc13d90daa1791a3f5c5e2d9,protein_234,302
e738af340c97db8838eaaca382c140e1,protein_50,298
cffe1e33249ca6a4834688b9150248c3,protein_53,292
cfc0f17e3397427256a71fb88b7c373e,protein_256,288
e4424b5a69493c924ea966f06a7848fa,protein_344,244
